corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,local,0.02432458992157467,0.02432458992157467,0.0,0.0
oddbench,LandRarity,global,0.0,0.0,0.0,0.0
oddbench,ProgrammingAnomalies,local,0.0,0.0,0.21288561969129458,0.0
oddbench,WindowsEditionAnomaly,global,0.3975653241787671,0.3975653241787671,0.4001659439985146,0.3975653241787671
ovrbench,BankruptcyForecast,global,0.09815707351822059,0.09815707351822059,0.09815707351822059,0.09815707351822059
ovrbench,seismic-bumps,local,0.11362761638014138,0.11362761638014138,0.046049752606325364,0.00012627605447951273
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,global,0.12301346266112595,0.12301346266112595,0.40283885354990534,0.12301346266112595
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,local,0.0,0.0,0.026144550792301796,0.0
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,local,0.06753653625267489,0.06753653625267489,0.06753653625267489,0.0
oddbench,CarMakeAnomaly,local,0.055650448656773745,0.055650448656773745,0.039685457467702016,0.039685457467702016
ovrbench,mozilla4,local,0.0,0.0,0.05330400343582082,0.0
oddbench,FishingAnomalies,local,0.22895083427613752,0.22895083427613752,0.22895083427613752,0.22895083427613752
oddbench,AquaticMacroInverts,global,0.5528517885730906,0.5528517885730906,0.5528517885730906,0.07061377247124256
oddbench,UserEventAnomalies,global,0.0,0.0,0.0,0.0
oddbench,RealEstateProperties,local,0.1450725967273491,0.1450725967273491,0.05517167009818792,0.05517167009818792
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,local,0.3132636314866596,0.3132636314866596,0.3132636314866596,0.2804949329857243
ovrbench,HeadingDetection,local,0.177038455998056,0.35032556009623766,0.35032556009623766,0.177038455998056
adbench,27_PageBlocks,local,0.0,0.0,0.042508006942195586,0.0
dami,PageBlocks,local,0.023661378082995455,0.023661378082995455,0.10349175331426208,0.023661378082995455
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,local,0.04023206972606019,0.04023206972606019,0.04023206972606019,0.04023206972606019
oddbench,AustinCrime,local,0.04461495214148366,0.04461495214148366,0.1422382943892954,0.04461495214148366
ovrbench,thyroid-ann,global,0.22772496646573295,0.22772496646573295,0.28232235354471996,0.22772496646573295
ovrbench,GeneExpressionCoactivator,global,0.04981502064833332,0.04981502064833332,0.04981502064833332,0.04981502064833332
adbench,23_mammography,global,0.06545012313792187,0.06545012313792187,0.09788646937857291,0.02217790247141635
