corpus,dataset,truefam,local_ev,reg_binary,reg_alpha_s2,reg_alpha_s4,reg_alpha_s8
ovrbench,FICO-HELOC-cleaned,local,-0.1426241480038949,0.10561836160980204,0.2055028599576837,0.2055028599576837,0.2055028599576837
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,local,-0.002683270676691496,0.0,0.0,0.0,0.0
oddbench,TrialBehavior,global,-0.2790229166666668,0.18109472810508132,0.16290222709948066,0.16290222709948066,0.16290222709948066
ovrbench,compass,local,-0.1465833333333334,0.16197241843425686,0.1653268874504332,0.1653268874504332,0.1653268874504332
ovrbench,KickstarterCampaigns,local,-0.25493333333333346,0.20410291348099818,0.20410291348099818,0.20410291348099818,0.20410291348099818
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,global,-0.19130905077262705,0.20135496545106774,0.20135496545106774,0.20135496545106774,0.20135496545106774
adbench,19_landsat,local,-0.00011274509803915755,0.003688256737989337,0.003688256737989337,0.003688256737989337,0.003688256737989337
ovrbench,SpatialAnomalies,local,-0.13213307240704497,0.024233207002364976,0.024233207002364976,0.024233207002364976,0.024233207002364976
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,-0.00848905109489051,0.0,0.0,0.0,0.0
oddbench,RulePriorityAnomalies,global,-0.14165227629513344,0.1143759705386092,0.010307235059453093,0.010307235059453093,0.010307235059453093
oddbench,WaterChemistry,local,-0.025021079258010115,0.0,0.09382276055857175,0.09382276055857175,0.09382276055857175
ovrbench,EmployeePerformance,local,-0.14070000000000005,0.5418070193718372,0.0913918702608651,0.0913918702608651,0.0913918702608651
ovrbench,SepsisMonitoring,local,-0.19748333333333346,0.07357351133123306,0.0,0.0,0.07357351133123306
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,-0.011164150943396178,0.08361958283459373,0.08361958283459373,0.08361958283459373,0.08361958283459373
ovrbench,BatchProcessingEvents,local,-0.20770416666666658,0.07871139521302038,0.07871139521302038,0.07871139521302038,0.07871139521302038
ovrbench,PhysicsTraining,local,-0.15622500000000006,0.16346761322356754,0.1837829312643468,0.1837829312643468,0.1837829312643468
ovrbench,volkert,global,-0.036329166666666635,0.267499754337892,0.267499754337892,0.267499754337892,0.267499754337892
ovrbench,FireRiskAnalysis,global,-0.18111250000000012,0.014955115428829727,0.01467749850148023,0.01467749850148023,0.01467749850148023
adbench,30_satellite,global,-0.00017045454545450145,0.18605151402585257,0.18605151402585257,0.18605151402585257,0.18605151402585257
oddbench,AttackIncidents,local,-0.2011986681465039,0.03548516715064791,0.03548516715064791,0.03548516715064791,0.03548516715064791
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,-0.013252697528715496,0.07872474796417889,0.07872474796417889,0.07872474796417889,0.07872474796417889
ovrbench,RealEstateData,global,-0.09401413189771202,0.20348402128455056,0.20348402128455056,0.20348402128455056,0.20348402128455056
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,-0.012401278676194116,0.0,0.04217647301175417,0.0,0.0
oddbench,RacingMotion,local,-0.10777916666666654,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.9391296238090816
ovrbench,CryptojackingSystem,local,-0.11399791666666681,0.038069742972189236,0.18895930050727855,0.18895930050727855,0.18895930050727855
ovrbench,CreditScoringAnomalies,local,-0.07252916666666664,0.19912179251020884,0.19912179251020884,0.19912179251020884,0.19912179251020884
oddbench,LandShapeAnomaly,global,-0.2164104372355431,0.0,0.0,0.0,0.0
ovrbench,XSSDetection,global,-0.04661666666666664,0.6609194456633171,0.6609194456633171,0.6609194456633171,0.6609194456633171
ovrbench,NetworkHealthMonitor,local,-0.03936874999999995,0.04926824691705192,0.04926824691705192,0.04926824691705192,0.04926824691705192
oddbench,OkCupidUserBehavior,local,-0.2993274336283186,0.03900848936823859,0.03900848936823859,0.03900848936823859,0.03900848936823859
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,local,-0.0029181218471091563,0.0,0.0,0.0,0.0
ovrbench,KDD,global,-0.18188866799204773,0.011081729503501801,0.11998593288213708,0.11998593288213708,0.11998593288213708
tsbad_m,110_SVDB_id_27_Medical_tr_30824_1st_3092,local,-0.004374771480804451,0.016464814976534167,0.016464814976534167,0.016464814976534167,0.016464814976534167
oddbench,PoliceForceDisturbance,local,-0.05977083333333333,0.40272474354179594,0.40272474354179594,0.40272474354179594,0.40272474354179594
tsbad_m,095_SVDB_id_12_Medical_tr_6264_1st_6364.,local,-0.0055177570093458694,0.0014848209479332575,0.0,0.0,0.0014848209479332575
ovrbench,WebpageSessionIntrusion,local,-0.3015333333333333,0.14950453309615142,0.14950453309615142,0.14950453309615142,0.14950453309615142
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,global,-0.014389671361502265,0.12875852357010992,0.12875852357010992,0.12875852357010992,0.12875852357010992
ovrbench,UrlAnalysis,global,-0.14453616352201248,0.07774966156448132,0.7394963430096912,0.7394963430096912,0.7394963430096912
oddbench,CourseRegistration,local,-0.09067083333333348,0.2564821643788527,0.2564821643788527,0.2564821643788527,0.2564821643788527
tsbad_m,107_SVDB_id_24_Medical_tr_32805_1st_3290,local,-0.008605858361141916,0.0,0.0,0.0,0.0
dami,Annthyroid,global,-0.06510833333333343,0.0,0.0,0.0,0.0
