corpus,dataset,n_anom,n_norm,frac_triv,n_hard,br_hard
ucr,151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,14,308,0.6428571428571429,5,0.015974440894517654
ucr,154_UCR_Anomaly_PowerDemand3_16000_23405_23477.txt,9,374,0.0,9,0.023498694516909925
ucr,157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,5,142,0.0,5,0.03401360544194549
ucr,160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,10,140,0.0,10,0.06666666666622223
ucr,164_UCR_Anomaly_apneaecg3_5000_11111_11211.txt,10,479,0.0,10,0.020449897750469428
ucr,166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,8,480,0.0,8,0.016393442622917226
ucr,167_UCR_Anomaly_gait1_20000_38500_38800.txt,23,500,0.043478260869565216,22,0.04214559386965106
ucr,168_UCR_Anomaly_gait2_22000_46500_46800.txt,23,500,0.0,23,0.043977055449246696
ucr,170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,11,500,0.45454545454545453,6,0.01185770750985799
ucr,171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,45,500,0.15555555555555556,38,0.07063197026009177
ucr,173_UCR_Anomaly_insectEPG1_3000_7000_7030.txt,6,124,0.0,6,0.04615384615349113
ucr,174_UCR_Anomaly_insectEPG2_3700_8000_8025.txt,5,119,0.0,5,0.040322580644836105
ucr,181_UCR_Anomaly_park3m_60000_72150_72495.txt,25,500,0.32,17,0.03288201160535226
ucr,182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.txt,29,450,0.0,29,0.0605427974946544
ucr,183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800.txt,29,374,0.0,29,0.07196029776657081
ucr,195_UCR_Anomaly_sel840mECG1_17000_51370_51740.txt,27,500,0.2222222222222222,21,0.04030710172736985
ucr,196_UCR_Anomaly_sel840mECG2_20000_49370_49740.txt,27,473,0.14814814814814814,23,0.046370967741842
ucr,197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,8,500,0.25,6,0.01185770750985799
ucr,202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,6,500,0.0,6,0.01185770750985799
ucr,203_UCR_Anomaly_CHARISfive_10500_10995_11028.txt,6,500,0.0,6,0.01185770750985799
ucr,206_UCR_Anomaly_CHARISten_25130_29080_29140.txt,8,500,0.0,8,0.015748031496031992
