corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.01618146972316407,-0.021322749108678762,0.0017816766692117256,-0.008517378877428114,0.013317927750184349,0.03750421883184284,0.014399793053952345,local
ovrbench,JobChangePatterns,0.4188630514620762,-0.16405071437183766,0.08278718422431723,-0.12017914760334564,0.36098471355820194,0.5829137658339139,0.33607586723775895,global
ovrbench,TrafficSensor,0.7139594175218883,-0.048319591516166153,0.14081583618748728,-0.012855313652488067,0.5870146840847454,0.7622790090380545,0.573143581334401,local
ovrbench,PokemonBattle,0.3066633742365804,0.0024824978855597095,0.12771020073462613,0.047937470132940564,0.22853757624437915,0.3041808763510207,0.17895317350195428,local
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.09415914918719744,0.0012695023135484184,0.05402774490726612,0.010541656117736584,0.09093033189137939,0.09288964687364902,0.04013140427993132,local
ovrbench,RealEstateListings,-0.031357779774873154,-0.3331553344127584,-0.14453529219841255,-0.2024567722806634,-0.07594633338042467,0.30179755463788527,0.11317751242353939,local
oddbench,BuildingInspections,0.2217792452653623,-0.20074623604225286,-0.012382818682320893,-0.18056674623304658,0.10467243945698103,0.42252548130761514,0.23416206394768319,global
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,0.14025758031490573,-0.038945226269063014,0.016645885064611773,-0.025551707287043375,0.12495863113229089,0.17920280658396875,0.12361169525029396,local
ovrbench,ViralProteinFunction,0.2553691860243676,-0.07621330362369179,0.10258428839285369,-0.03658101362377777,0.24791370440778243,0.33158248964805936,0.1527848976315139,local
ovrbench,GeotechnicalAnomalies,0.1391466911632102,-0.15675739676661166,-0.03237140230478398,-0.11997993573481232,0.08971677232427058,0.29590408792982187,0.17151809346799418,local
ovrbench,BreastCancer,0.14583423320253705,-0.017420150420464128,0.08655417647789797,0.01942220001972137,0.12955223623351902,0.16325438362300118,0.05928005672463908,global
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.14346762749381872,-0.04729595769108517,0.04019922483157534,-0.04305574479504372,0.1288989557385124,0.19076358518490388,0.10326840266224338,local
oddbench,ProtestViolence,0.7757922827349034,-0.282252189032889,0.09518712905166106,-0.09620152730416956,0.5769479410249311,1.0580444717677924,0.6806051536832424,global
ovrbench,UserMovieInteractions,0.21263017544669036,-0.3131972051213077,-0.09272155185341258,-0.23759594418115115,0.08195929673348336,0.525827380567998,0.30535172730010296,global
ovrbench,Word2VecPCA,0.05576594708026657,-0.1291740035563312,-0.06353409863366637,-0.11492469691950083,0.007303140245355532,0.1849399506365978,0.11930004571393293,global
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,0.19075969265997483,-0.02434844940011429,0.056269921299179765,0.0023946293152109204,0.1592819938885504,0.21510814206008913,0.13448977136079507,local
ovrbench,TextAnomalyDetection,-0.030915554533882793,-0.2150494318092646,-0.12822771825782575,-0.18734295950037141,-0.051913711120198235,0.18413387727538183,0.09731216372394295,global
ovrbench,BNG(cmc),0.18484816583478839,-0.33977637637865193,-0.09572569751922408,-0.2281943501265133,0.022683632629053402,0.5246245422134403,0.28057386335401246,global
oddbench,GlobalTerrorismAttack,0.09856838137750215,-0.9047632296861309,-0.33094264646130506,-0.5599069702140125,-0.02093002214151778,1.003331611063633,0.42951102783880724,global
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.48133599998029064,-0.01867798165147788,0.16983814844076192,-0.015803926724822216,0.4666794808007476,0.5000139816317685,0.3114978515395287,local
ovrbench,FICO-HELOC-cleaned,0.14386207147780916,-0.1398158230852667,-0.006634482282351326,-0.1099517734823215,0.06691157695087475,0.28367789456307585,0.1504965537601605,local
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.22994644007263004,0.050527986654801106,0.11437198808748245,0.060277652991960334,0.1903075515704973,0.17941845341782894,0.1155744519851476,local
oddbench,TrialBehavior,0.12414969732586024,-0.11893368965707292,-0.03718509810163301,-0.08007661974231753,0.004965370826766093,0.24308338698293316,0.16133479542749324,global
ovrbench,compass,0.065012637398422,-0.16017245175881634,-0.039358036050384626,-0.1291162299598934,0.03270493898018349,0.22518508915723834,0.10437067344880663,local
ovrbench,KickstarterCampaigns,0.012114415444462125,-1.2176645394901526,-0.18484227282863339,-0.5836703688488291,-0.001088818787645655,1.2297789549346148,0.1969566882730955,local
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.4884538320089018,0.22875844380410443,0.32750246639498304,0.24479408974898706,0.45895914055467296,0.2596953882047974,0.16095136561391876,global
