dataset,n_anom_win,median_purity,frac_below_0.5,frac_below_0.25,frac_single_pt,inbench,glob_mv
178_Exathlon_id_5_Facility_tr_12538_1st_,1043,1.0,0.035,0.017,0.001,False,False
088_SVDB_id_5_Medical_tr_500_1st_168.csv,2175,0.734,0.342,0.166,0.007,True,False
030_MITDB_id_12_Medical_tr_50000_1st_845,1908,1.0,0.121,0.059,0.004,True,False
152_SMAP_id_9_Sensor_tr_2073_1st_5600.cs,24,1.0,0.125,0.042,0.042,False,False
087_SVDB_id_4_Medical_tr_5421_1st_5521.c,1128,0.844,0.285,0.138,0.005,True,False
128_TAO_id_13_Environment_tr_500_1st_7.c,622,0.141,1.0,0.989,0.0,False,False
122_TAO_id_7_Environment_tr_500_1st_19.c,621,0.094,1.0,1.0,0.018,False,False
179_Exathlon_id_6_Facility_tr_11665_1st_,195,1.0,0.062,0.031,0.0,False,False
002_MSL_id_1_Sensor_tr_500_1st_900.csv,4,0.172,1.0,1.0,0.0,False,False
111_SVDB_id_28_Medical_tr_1791_1st_1891.,1944,0.844,0.289,0.139,0.008,True,False
116_TAO_id_1_Environment_tr_500_1st_3.cs,597,0.047,1.0,1.0,0.147,False,False
069_SMD_id_13_Facility_tr_5925_1st_12760,222,1.0,0.216,0.162,0.005,False,False
137_CreditCard_id_1_Finance_tr_500_1st_5,1513,0.016,1.0,0.998,0.827,True,True
119_TAO_id_4_Environment_tr_500_1st_1.cs,622,0.094,1.0,1.0,0.013,False,False
192_Exathlon_id_19_Facility_tr_11665_1st,195,1.0,0.062,0.031,0.0,False,False
094_SVDB_id_11_Medical_tr_20100_1st_2361,91,0.719,0.341,0.165,0.011,False,False
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,13,1.0,0.154,0.077,0.0,False,False
064_SMD_id_8_Facility_tr_2272_1st_2372.c,88,0.578,0.466,0.261,0.0,False,False
018_Daphnet_id_1_HumanActivity_tr_9693_1,168,1.0,0.143,0.071,0.006,False,False
060_SMD_id_4_Facility_tr_7176_1st_10609.,46,0.547,0.457,0.261,0.0,False,False
037_GHL_id_6_Sensor_tr_50000_1st_80001.c,125,1.0,0.064,0.032,0.008,False,False
114_SVDB_id_31_Medical_tr_25000_1st_6309,35,1.0,0.114,0.057,0.0,False,False
132_OPPORTUNITY_id_4_HumanActivity_tr_89,31,1.0,0.129,0.065,0.0,False,False
026_MITDB_id_8_Medical_tr_30495_1st_3059,1828,1.0,0.102,0.049,0.003,True,False
104_SVDB_id_21_Medical_tr_50000_1st_1066,268,1.0,0.187,0.086,0.004,True,False
110_SVDB_id_27_Medical_tr_30824_1st_3092,652,0.984,0.245,0.118,0.008,True,False
161_SMAP_id_18_Sensor_tr_2075_1st_5550.c,26,1.0,0.154,0.077,0.0,False,False
089_SVDB_id_6_Medical_tr_50000_1st_83083,226,1.0,0.137,0.066,0.004,False,False
083_LTDB_id_5_Medical_tr_15502_1st_15602,55,0.594,0.4,0.182,0.0,False,False
082_LTDB_id_4_Medical_tr_4456_1st_4556.c,1405,0.875,0.278,0.136,0.009,True,False
034_GHL_id_3_Sensor_tr_50000_1st_122001.,128,1.0,0.062,0.031,0.008,False,False
019_MITDB_id_1_Medical_tr_37500_1st_1032,1167,1.0,0.003,0.002,0.0,True,False
